Word,Definition,Category,ExampleW,ExampleD,ExampleW,ExampleD,ExampleW,ExampleD,QuoteW,QuoteD,QuoteS,QuoteW,QuoteD,QuoteS
as,кода,,,,,,,,,,,,,
as ... as ...,истямо... кода,,,,,,,,,,,,,
as far as,видьс,,,,,,,,,,,,,
as soon as,кодак,,,,,,,,,,,,,
ascend,куземс,,,,,,,,,,,,,
ash,1. (from burning) кулов 2. (rowan) пизёлкс,,,,,,,,,,,,,
ashamed,виздиця; визькс чамас совазь,,,,,,,,,,,,,
ashore,мода лангсо,,,,,,,,,,,,,
ashtray,пепельница; куловдирькс,,,,,,,,,,,,,
ask,кевкстемс,,,,,,,,,,,,,
asparagus,ведунтикше,,,,,,,,,,,,,
asphalt,асфальт,,,,,,,,,,,,,
asphyxiate,лепиявтомс,,,,,,,,,,,,,
asphyxiation,лепиямо,,,,,,,,,,,,,
aspirin,аспирин,,,,,,,,,,,,,
assassin,политикень маштыця,,,,,,,,,,,,,
assassinate,куловтомс; маштомс (политик),,,,,,,,,,,,,
assassination,политикень маштома,,,,,,,,,,,,,
assault,кинь лангс каявома,,,,,,,,,,,,,
assault,каявомс (someone ки лангскак),,,,,,,,,,,,,
assemble,пуромомс; пуромтомс,,,,,,,,,,,,,
assembly,промкс,,,,,,,,,,,,,
assert,аштемс (а чумочинзэ) кисэ,,,,,,,,,,,,,
assertion,эсь праванзо кисэ аштема,,,,,,,,,,,,,
assertive,эсь праванзо кисэ аштиця,,,,,,,,,,,,,
assess,ваннозь питне путомс,,,,,,,,,,,,,
assessment,питнень путома; питнень максома,,,,,,,,,,,,,
assets,(property) улипаро,,,,,,,,,,,,,
assign,аравтомс (киньгак); максомс,,,,,,,,,,,,,
assignment,аравтома; максома,,,,,,,,,,,,,
assist,лездамс,,,,,,,,,,,,,
assistance,лездамо; лезкс,,,,,,,,,,,,,
assistant,лездыця,,,,,,,,,,,,,
associate,важоди ялга,,,,,,,,,,,,,
association,вейсэндявкс; арсемань сюлмавома,,,,,,,,,,,,,
assorted,эрьва кодат,,,,,,,,,,,,,
assortment,мезде кочкамс; кочкавкс,,,,,,,,,,,,,
assume,арсемс; теемс гипотеза,,,,,,,,,,,,,
assumption,гипотеза; арсевкс,,,,,,,,,,,,,
assurance,кемевтема,,,,,,,,,,,,,
assure,кемевтемс,,,,,,,,,,,,,
asterisk,тештине,,,,,,,,,,,,,
asthma,астма,,,,,,,,,,,,,
astonishing,дивавтыця,,,,,,,,,,,,,
astonishment,дивавтома; дивазевема,,,,,,,,,,,,,
astound,дивавтомс,,,,,,,,,,,,,
astray,ёнксонь ёмавтозь,,,,,,,,,,,,,
astrology,астрология,,,,,,,,,,,,,
astronaut,астронавт,,,,,,,,,,,,,
astronomy,астрономия,,,,,,,,,,,,,
asylum,прянь кекшема тарка,,,,,,,,,,,,,
at,1. -со\-сэ 2. лангс,,,,,,,,,,,,,
atheism,атеизма,,,,,,,,,,,,,
atheist,атеист; пазнэнь акемиця,,,,,,,,,,,,,
athlete,атлет,,,,,,,,,,,,,
atlas,атлас,,,,,,,,,,,,,
atmosphere,атмосфера; кошт,,,,,,,,,,,,,
atom,атом,,,,,,,,,,,,,
atomic,атомонь,,,,,,,,,,,,,
attach,сюлмамс,,,,,,,,,,,,,
attack,1. (medical) куродома; приступ 2. (military) каявома,,,,,,,,,,,,,
attack,каявомс (someone кинь лангскак),,,,,,,,,,,,,
attempt,варчавкс,,,,,,,,,,,,,
attempt,варчамс; снартнемс; бажамс,,,,,,,,,,,,,
attend,1. якамс (школав) 2. якамс кинь-бути мельга,,,,,,,,,,,,,
attendance,якамо,,,,,,,,,,,,,
attendant,мельга якиця; мельга ваныця,,,,,,,,,,,,,
attention,мелень явома,,,,,,,,,,,,,
attentive,мелень явиця,,,,,,,,,,,,,
attest,пшкадемс мезень кисэяк,,,,,,,,,,,,,
attic,кудопотмар,,,,,,,,,,,,,
attitude,вановкс,,,,,,,,,,,,,
attorney,адвокат; аблокат,,,,,,,,,,,,,
attract,тердемс; манямс (эстензэ); улемс медьсэ ваднезь,,,,,,,,,,,,,
attraction,(physical) атракция,,,,,,,,,,,,,
attractive,медьсэ ваднезь,,,,,,,,,,,,,
auction,аукцион,,,,,,,,,,,,,
audibly,марямга,,,,,,,,,,,,,
audience,ваныцят,,,,,,,,,,,,,
audit,инспектировамс (счёт); кунсоломс лекция серия,,,,,,,,,,,,,
audition,сцена лангслисемань варчавкс,,,,,,,,,,,,,
auditorium,(лекциянь) зал,,,,,,,,,,,,,
augment,1. касомс 2. кастомс,,,,,,,,,,,,,
aunt,(сыре) патя,,,,,,,,,,,,,
authentic,автентической; алкуксонь; виде,,,,,,,,,,,,,
authenticate,невтемс алкуксонь - арась,,,,,,,,,,,,,
author,автор; сёрмадыця,,,,,,,,,,,,,
authorities,властень ломанть,,,,,,,,,,,,,
authority,авторитет,,,,,,,,,,,,,
authorization,полномочия,,,,,,,,,,,,,
authorize,максомс полномочия,,,,,,,,,,,,,
autograph,автограф; кедьпутома,,,,,,,,,,,,,
automate,автоматизировамс,,,,,,,,,,,,,
automatic,сонсь моли; автоматикань,,,,,,,,,,,,,
automation,автомация,,,,,,,,,,,,,
automobile,машина,,,,,,,,,,,,,
autonomous,автономиянь,,,,,,,,,,,,,
autonomy,автономия,,,,,,,,,,,,,
autopsy,кулыцянь потмонь ваннома,,,,,,,,,,,,,
autumn,сёксь,,,,,,,,,,,,,
availability,кедьмаласоксчи,,,,,,,,,,,,,
available,кедьмаласо; муевиця,,,,,,,,,,,,,
avalanche,лавина; модань прамо,,,,,,,,,,,,,
avenge,пандомс кеж,,,,,,,,,,,,,
avenue,аллея; бульвар,,,,,,,,,,,,,
average,куншкавидьгань,,,,,,,,,,,,,
average,куншкавидь(га),,,,,,,,,,,,,
aversion,нулгодема,,,,,,,,,,,,,
avert,кардамс,,,,,,,,,,,,,
aviation,авиация,,,,,,,,,,,,,
avid,(enjoyable) седейшкавань,,,,,,,,,,,,,
avoid,ютамс вакска; а вастомс,,,,,,,,,,,,,
avoidable,вакска ютавикс,,,,,,,,,,,,,
avoidance,вакска ютамо,,,,,,,,,,,,,
await,учомс,,,,,,,,,,,,,
awake,сыргозезь,,,,,,,,,,,,,
awake,сыргоземс,,,,,,,,,,,,,
award,ловмо; казне,,,,,,,,,,,,,
award,казнемс ловмосо,,,,,,,,,,,,,
aware,(мезде-бути) содыця,,,,,,,,,,,,,
awareness,(мезде-бути) содамо,,,,,,,,,,,,,
away,аволь таркасонзо,,,,,,,,,,,,,
awful,беряндеяк берянь,,,,,,,,,,,,,
awkward,(clumsy) чувтола; ??цёлак,,,,,,,,,,,,,
awning,навес; шаршав,,,,,,,,,,,,,
axe,узере,,,,,,,,,,,,,
axis,1. (масторонь) петькель; ось 2. (улавонь) петькель,,,,,,,,,,,,,
ABC's,алфавит,,,,,,,,,,,,,
Africa,Африка,,,,,,,,,,,,,
African,Африкань,,,,,,,,,,,,,
African,Африкань ломань,,,,,,,,,,,,,
America,Америка,,,,,,,,,,,,,
American,Американь,,,,,,,,,,,,,
American,Американь ломань,,,,,,,,,,,,,
Antarctica,Антарктида,,,,,,,,,,,,,
April,чадыков; нилеце ков,,,,,,,,,,,,,
Arctic Ocean,пеле ве ёнксонь иневедь,,,,,,,,,,,,,
Asia,Азия,,,,,,,,,,,,,
Asian,Азиянь,,,,,,,,,,,,,
Asian,Азиянь ломань,,,,,,,,,,,,,
Atlantic Ocean,Атлантика иневедь,,,,,,,,,,,,,
August,умарьков; кавксоце ков,,,,,,,,,,,,,
Australia,Австралия,,,,,,,,,,,,,
Australian,Австралиянь,,,,,,,,,,,,,
Australian,Австралиянь ломань,,,,,,,,,,,,,
baboon,бабуин,,,,,,,,,,,,,
baby,эйде (пек вишине),,,,,,,,,,,,,
bachelor,апак урьваксто цёра,,,,,,,,,,,,,
back,удалце,,,,,,,,,,,,,
back,1. (body) кутьмере; копорь 2. (location) (залонь) удалкс,,,,,,,,,,,,,
back,(support) максомс неже; аштемс кинь ёнояк,,,,,,,,,,,,,
back,мекев,,,,,,,,,,,,,
backbone,карязт,,,,,,,,,,,,,
background,мезе удалонзо; косто моли,,,,,,,,,,,,,
backpack,рюкзак,,,,,,,,,,,,,
backwards,мекевлангт,,,,,,,,,,,,,
bacon,бекон,,,,,,,,,,,,,
bacteria,бактерия,,,,,,,,,,,,,
bad,берянь; кальдяв,,,,,,,,,,,,,
badge,значок,,,,,,,,,,,,,
badly,пек,,,,,,,,,,,,,
badminton,бадминтон,,,,,,,,,,,,,
baffle,таймазкавтнемс,,,,,,,,,,,,,
bag,кескав; юдма,,,,,,,,,,,,,
baggage,килангонь кескавт-мезть,,,,,,,,,,,,,
baggy,пек покшт (оршамопельде),,,,,,,,,,,,,
bail,залог; ведраведьме,,,,,,,,,,,,,
bailiff,судонь пристав,,,,,,,,,,,,,
bait,(калонь кундсемасо) манямка,,,,,,,,,,,,,
bake,панемс,,,,,,,,,,,,,
baker,(кшинь) паниця,,,,,,,,,,,,,
bakery,панема кудо,,,,,,,,,,,,,
baking powder,??панема почт,,,,,,,,,,,,,
balance,(remainder) баланс,,,,,,,,,,,,,
balance,вейкетямс,,,,,,,,,,,,,
balcony,балкон,,,,,,,,,,,,,
bald,кокша; чертеме; кепе пря,,,,,,,,,,,,,
ball,оска; токо; мецьке,,,,,,,,,,,,,
ballerina,балерина,,,,,,,,,,,,,
balloon,пузырь,,,,,,,,,,,,,
ballot,вайгелень каямо конёв,,,,,,,,,,,,,
bamboo,бамбук,,,,,,,,,,,,,
ban,кардамо,,,,,,,,,,,,,
ban,кардамс,,,,,,,,,,,,,
banana,банан,,,,,,,,,,,,,
band,(strip) кикс,,,,,,,,,,,,,
bandage,пластырь,,,,,,,,,,,,,
bandit,салы вор,,,,,,,,,,,,,
bangs,чолка,,,,,,,,,,,,,
banish,панемс,,,,,,,,,,,,,
banister,кузтема кедькундамо; перила,,,,,,,,,,,,,
bank,1. (money) банк 2. (river) лей чире; берёк,,,,,,,,,,,,,
banker,банкир,,,,,,,,,,,,,
bankrupt,обанкротовазь,,,,,,,,,,,,,
bankruptcy,банкротства,,,,,,,,,,,,,
baptism,лемдема (церьковань),,,,,,,,,,,,,
baptize,лемдемс,,,,,,,,,,,,,
bar,1. (ban) запрет 2. (place) бар 3. (rod) полоса 4. (window) циндерь,,,,,,,,,,,,,
bar,1. (ban) а нолдамс; а меремс 2. (window) циндердамс,,,,,,,,,,,,,
bar of chocolate,??шоколад лазнэ,,,,,,,,,,,,,
barbarian,варвар,,,,,,,,,,,,,
barbaric,варваронь,,,,,,,,,,,,,
barber,(цёрань) нарый; парекмахер,,,,,,,,,,,,,
bare,штапо,,,,,,,,,,,,,
barefoot,кепе,,,,,,,,,,,,,
barely,эль-эль,,,,,,,,,,,,,
bargain,(price) паро питне (аламо),,,,,,,,,,,,,
barge,баржа,,,,,,,,,,,,,
bark,1. (dog) онгома 2. (tree) суд; керь,,,,,,,,,,,,,
bark,онгомс,,,,,,,,,,,,,
barley,шуж,,,,,,,,,,,,,
barn,кардо; латоалкс,,,,,,,,,,,,,
barracks,барак,,,,,,,,,,,,,
barrel,(container) парь,,,,,,,,,,,,,
barren,бесплодной,,,,,,,,,,,,,
barricade,барикада,,,,,,,,,,,,,
barrier,баръер,,,,,,,,,,,,,
barrister,адвокат,,,,,,,,,,,,,
bartender,бармен,,,,,,,,,,,,,
barter,теемс бартер,,,,,,,,,,,,,
base,1. (bottom) потмакс 2. (foundation) алкс; юрт 3. (military) гарнизон,,,,,,,,,,,,,
baseball,бейсбол,,,,,,,,,,,,,
basement,каська,,,,,,,,,,,,,
bashful,ломанде пелиця,,,,,,,,,,,,,
basic,прявт(окс),,,,,,,,,,,,,
basically,в основном,,,,,,,,,,,,,
basin,бассейна,,,,,,,,,,,,,
basis,ушодкс; юр,,,,,,,,,,,,,
basket,парго,,,,,,,,,,,,,
basketball,баскетбол,,,,,,,,,,,,,
bat,(animal) кедьнимиляв; кедьнармунь,,,,,,,,,,,,,
bath,ванна,,,,,,,,,,,,,
bathe,1. экшелямс 2. экшелявтомс,,,,,,,,,,,,,
bathrobe,халат,,,,,,,,,,,,,
bathroom,ванной,,,,,,,,,,,,,
bathtowel,нардамо (покш),,,,,,,,,,,,,
bathtub,ванна,,,,,,,,,,,,,
battery,батарейка,,,,,,,,,,,,,
battle,тюрема,,,,,,,,,,,,,
battlefield,тюрема пакся; тортинге,,,,,,,,,,,,,
battleship,воёвамонь венч,,,,,,,,,,,,,
bay,ведьуло; ведьсюро,,,,,,,,,,,,,
bayonet,ножна; штык,,,,,,,,,,,,,
bazaar,базар,,,,,,,,,,,,,
be,(копула); улемс,,,,,,,,,,,,,
beach,ведь чире,,,,,,,,,,,,,
beacon,сигнал тол,,,,,,,,,,,,,
beak,(нармунень) нерь; куво,,,,,,,,,,,,,
beam,(wood) чочко; пайме,,,,,,,,,,,,,
bean,фасоль; бобка,,,,,,,,,,,,,
beanstalk,??фасоль кодоркс,,,,,,,,,,,,,
bear,овто,,,,,,,,,,,,,
bear,1. кандомс 2. кирдемс; цидярдомс,,,,,,,,,,,,,
bearable,кандовикс; кирдевикс,,,,,,,,,,,,,
beard,сакал,,,,,,,,,,,,,
bearing,(machine) подшипник,,,,,,,,,,,,,
bearings,(direction) ёнкс,,,,,,,,,,,,,
beast,идем ракша,,,,,,,,,,,,,
beat,вачкодькс,,,,,,,,,,,,,
beat,вачкодемс; вравтомс,,,,,,,,,,,,,
beating,вравтома,,,,,,,,,,,,,
beautiful,мазы; мазый,,,,,,,,,,,,,
beauty,мазычи,,,,,,,,,,,,,
beaver,мияв; мия,,,,,,,,,,,,,
because,секскак; (сказуемой + подлежащей),,,,,,,,,,,,,
become,теевемс,,,,,,,,,,,,,
bed,1. удома тарка 2. (for flowers) пандя,,,,,,,,,,,,,
bedding,ацавкс (алкст-прялкст),,,,,,,,,,,,,
bedroom,удома нупаль,,,,,,,,,,,,,
bedtime,мадема шка,,,,,,,,,,,,,
bee,мекш; промо (медь),,,,,,,,,,,,,
beef,скалонь сывель; букань сывель,,,,,,,,,,,,,
beehive,нешке; мекшпизэ,,,,,,,,,,,,,
beer,пия; шуж ведь,,,,,,,,,,,,,
beet,якстере якстерькай,,,,,,,,,,,,,
beetle,унжа,,,,,,,,,,,,,
beetroot,якстере якстерькай,,,,,,,,,,,,,
before,1. икеле 2. conj. седе икеле 3. prep. икеле,,,,,,,,,,,,,
beg,пурнамс (кши; ярмак),,,,,,,,,,,,,
beggar,пурныця,,,,,,,,,,,,,
begin,ушодомс,,,,,,,,,,,,,
beginner,ушодыця,,,,,,,,,,,,,
beginning,ушодома,,,,,,,,,,,,,
behave,ветямс пря,,,,,,,,,,,,,
behavior,прянь ветямо,,,,,,,,,,,,,
behind,удало,,,,,,,,,,,,,
behind,удалкс,,,,,,,,,,,,,
behind,удало,,,,,,,,,,,,,
beige,беж,,,,,,,,,,,,,
belch,рангстамс (ярсамодо мельга),,,,,,,,,,,,,
belief,кемема; ознома,,,,,,,,,,,,,
believable,кемевикс,,,,,,,,,,,,,
believe,кемемс,,,,,,,,,,,,,
believer,кемиця,,,,,,,,,,,,,
belittle,а путомс питне (ломаннень),,,,,,,,,,,,,
bell,баяга,,,,,,,,,,,,,
belligerent,войнас правтыця; войнас эциця,,,,,,,,,,,,,
belly,пеке,,,,,,,,,,,,,
belong,кандовомс; улемс (кинь),,,,,,,,,,,,,
belongings,улипаро,,,,,,,,,,,,,
below,1. алов 2. ало,,,,,,,,,,,,,
below,1. алов 2. ало,,,,,,,,,,,,,
belt,каркс; кшнань каркс,,,,,,,,,,,,,
bench,скамика; скамейка,,,,,,,,,,,,,
bend,мендямс,,,,,,,,,,,,,
beneath,алов; ало,,,,,,,,,,,,,
beneath,алов; ало,,,,,,,,,,,,,
benefactor,лезэнь кандыця; паронь теиця,,,,,,,,,,,,,
beneficial,лезэнь кандыця,,,,,,,,,,,,,
beneficiary,лезэнь саиця,,,,,,,,,,,,,
benefit,лезэ,,,,,,,,,,,,,
benefit,саемс лезэ (from косто),,,,,,,,,,,,,
bent,мендязь,,,,,,,,,,,,,
berry,марь; ягода,,,,,,,,,,,,,
beside,вакссо,,,,,,,,,,,,,
beside,ваксс,,,,,,,,,,,,,
besides,башка,,,,,,,,,,,,,
besides,седе башка,,,,,,,,,,,,,
besiege,саемс перька; саемс кирьксс (ош войнасо),,,,,,,,,,,,,
best,сехте вадря,,,,,,,,,,,,,
bestow,1. каземс 2. максомс,,,,,,,,,,,,,
bet,ярмаконь путома,,,,,,,,,,,,,
bet,путомс ярмак (мезе лангс),,,,,,,,,,,,,
betray,миемс (ятонтень ломань; мастор),,,,,,,,,,,,,
betrayal,миема (ломанень; масторонь),,,,,,,,,,,,,
better,седе вадря,,,,,,,,,,,,,
between,1. юткс 2. ютксо 3. юткова,,,,,,,,,,,,,
beverage,симемапель,,,,,,,,,,,,,
beware,ваномс; пелемс,,,,,,,,,,,,,
beyond,томбалев; томбале,,,,,,,,,,,,,
beyond,седе тов,,,,,,,,,,,,,
bib,икелькске (эйкакшонь ярсамсто),,,,,,,,,,,,,
biblical,Библиянь; Библиясо,,,,,,,,,,,,,
bicycle,лесопед; велосипед,,,,,,,,,,,,,
bid,питнень максома (аукционсо),,,,,,,,,,,,,
bid,питне максомс (аукционсо),,,,,,,,,,,,,
big,покш,,,,,,,,,,,,,
bigamy,кавто нинь кирдема,,,,,,,,,,,,,
bike,лесопед; велосипед,,,,,,,,,,,,,
bikini,бикини,,,,,,,,,,,,,
bilingual,кавто кельсэ (кортыця),,,,,,,,,,,,,
bill,1. счёт 2. (яксаргонь; мацеень) нерь,,,,,,,,,,,,,
